id_str	from_user	text	created_at	Relevante? (S/N) Anotador 1	Relevante? (S/N) Anotador 2	Relevante? (S/N) Final	Concorda
859598875191062528	TeIevizona	RT @TeIevizona: CADE MIRIAN TU NÃO ERA A FODONA MANA? AH OK! PERDEU A PROVA DE LAVADA NÉ!!!! #MasterChefBR https://t.co/T1hJqaRJf3	Wed May 03 02:41:57 +0000 2017	S	S	S	1
859598907558338561	thiago_p	A mulher não conseguiu cozinhar uma mandioca e joga a culpa no outro que ficou sozinho com o peixe. hahahahaha #MasterChefBR	Wed May 03 02:42:04 +0000 2017	S	S	S	1
859598966471749632	OpsEngordei	CARA NA POEIRAAAAAAAAAAAAAA DE NOVO MIRIAAAAAN #MasterChefBR	Wed May 03 02:42:18 +0000 2017	N	N	N	1
859599021509357572	masterchefbr	RT @agentecorneta: tem TRETA no #MasterChefBR e a gente está como? https://t.co/djx7WAiiXu	Wed May 03 02:42:31 +0000 2017	N	N	N	1
859599018862817280	Teledramaturgia	A acareação da Miriam #MasterChefBR	Wed May 03 02:42:31 +0000 2017	N	S	S	0
859599023233257472	Aguinaldinho	miriam completamente sapateada pelo seu grupo. #MasterChefBR	Wed May 03 02:42:32 +0000 2017	S	S	S	1
859599091474587650	educhaves	Mirian VS Fabrizio Pow Pow Pow #MasterChefBR https://t.co/L9jUE083qd	Wed May 03 02:42:48 +0000 2017	S	S	S	1
859599090988064768	boudelaires	mirian tem que sair já tá achando que é casos de família o programa só briga e quer mandar em tudo #MasterChefBR	Wed May 03 02:42:48 +0000 2017	S	S	S	1
859599099640852480	TeIevizona	AMANDO ESSA TRETAAAAAA #MasterChefBR https://t.co/GqQWmQJFSq	Wed May 03 02:42:50 +0000 2017	N	N	N	1
859599106641211393	cleytu	QUANTA TRETA #MasterChefBR https://t.co/b6LmwmxBmj	Wed May 03 02:42:52 +0000 2017	N	N	N	1
859599108855803906	Resenha_TV	TRETAAAAA! Escondam as facas!!! hahahaha #MasterChefBR	Wed May 03 02:42:52 +0000 2017	S	S	S	1
859599202237788160	emilyfdearaujo	#MasterChefBR MEU DEUS EU AMO ESSE PROGRAMA	Wed May 03 02:43:15 +0000 2017	N	S	S	0
859599219627372544	emilyfdearaujo	RT @ForumChaves: Enquanto isso no #MasterChefBR, o @MChefFabrizio está usando uma camiseta com estampa do Chaveco, personagem do Chespirito…	Wed May 03 02:43:19 +0000 2017	N	N	N	1
859599223523864577	TeIevizona	Mirian SAPATEADA pelo grupo! AMOOOOOOO #MasterchefBR https://t.co/jZEqqSDLYr	Wed May 03 02:43:20 +0000 2017	N	S	S	0
859599228737396736	jwstimberlake	PISA MAIS NESSA EMBUSTE FABRIZIO #MasterChefBR	Wed May 03 02:43:21 +0000 2017	N	S	S	0
859599238317170688	cleytu	programa tá demais hoje #MasterChefBR	Wed May 03 02:43:23 +0000 2017	S	S	S	1
859599282680324097	philosopop	Débora tem dentes ao quadrado!! #MasterchefBR	Wed May 03 02:43:34 +0000 2017	N	N	N	1
859599327186104320	masterchefbr	A cada dia que passa o mezanino se torna mais desejado! #MasterChefBR	Wed May 03 02:43:44 +0000 2017	S	S	S	1
859599331153915905	TeIevizona	Ai, Leonardo nem pra entrar na treta serve #MasterChefBR https://t.co/EGObAzu6bY	Wed May 03 02:43:45 +0000 2017	S	S	S	1
859599344386834436	brunomotta	Mas a Ana Paula também fica cutucando o povo pra espizinhar a Miriam #MasterChefBR	Wed May 03 02:43:48 +0000 2017	S	S	S	1
859599354843332609	Aguinaldinho	ana paula padrão muito rainha consegue de forma sutil e com classe instaurar a maior torta de climão você quer tiago leifert? #MasterChefBR	Wed May 03 02:43:51 +0000 2017	S	S	S	1
859599355115954177	emilyfdearaujo	#MasterChefBR até as treta daqui são melhores que o BBB	Wed May 03 02:43:51 +0000 2017	S	S	S	1
859599354641993728	jwstimberlake	A MULHER FALA PRA NAO FAZER E AGORA PAGA DE SANTA? AH VAI SE FUDER #MasterChefBR	Wed May 03 02:43:51 +0000 2017	N	S	S	0
859599403585241088	criaugusto	Esse Leonardo pula fora neh das posições no jogo neh !! Estamos de olho .... #MasterChefBR https://t.co/cdHEXBkfwr	Wed May 03 02:44:03 +0000 2017	N	S	S	0
859599482975121408	Teledramaturgia	Vão cozinhar um tiranossauro rex #MasterChefBR	Wed May 03 02:44:21 +0000 2017	N	N	N	1
859599492504592384	educhaves	E essa torta de climão 😂 #MasterChefBR https://t.co/YNkYNUEIQQ	Wed May 03 02:44:24 +0000 2017	N	N	N	1
859599540432904192	emilyfdearaujo	RT @edswaglima: IIIIIIIIIIIIT`S TIME! UFC Masterchef!!! Fight! #masterchefbr	Wed May 03 02:44:35 +0000 2017	N	S	S	0
859599547814772737	NonLacerda	EQUIPE VERMELHA #MasterChefBR arrasaram. Depois dessa, vms morfar @masterchefbr!!!! https://t.co/g3Oamwgdxp	Wed May 03 02:44:37 +0000 2017	N	N	N	1
859599566110433280	emilyfdearaujo	RT @lookingforlara: essa Débora é inteligente demais bicho, mulherão da porra #masterchefbr	Wed May 03 02:44:41 +0000 2017	N	N	N	1
859599580807168001	jwstimberlake	EU QUERO A MIRIAN FORA #MasterChefBR	Wed May 03 02:44:45 +0000 2017	S	S	S	1
859599588809986049	cleytu	RT @masterchefbr: Não teve como pisar menos. #MasterChefBR https://t.co/gDtLftm0oY	Wed May 03 02:44:47 +0000 2017	N	N	N	1
859599614302978048	Resenha_TV	E depois da TRETA, vamos cozinhar uma TRUTA! #MasterChefBR	Wed May 03 02:44:53 +0000 2017	S	S	S	1
859599653788155906	luizagomes	A Mariam é insuportável!! Agora imagina ela como sua sogra.... DEUSMELIVRE #MasterChefBr	Wed May 03 02:45:02 +0000 2017	S	S	S	1
859599675502071808	MChef_Raul	É mano, a prova hj ta embaçada! Certo TRUTA!! #MASTERCHEFBR	Wed May 03 02:45:07 +0000 2017	S	S	S	1
859599755705544705	emilyfdearaujo	RT @LoohValadares: Agora é a hora do Fabrizio mostrar que sabe fazer um bom peixe #MasterChefBR	Wed May 03 02:45:27 +0000 2017	S	S	S	1
859599805923852288	masterchefbr	"Meus trutas, essa prova é muita treta!" @fogaca_henrique #MasterChefBR https://t.co/IsVnybQ6C6	Wed May 03 02:45:38 +0000 2017	S	S	S	1
859599818032918528	TeIevizona	Quando vejo o pote de sorvete na geladeira, mas descubro que tem feijão dentro #MasterChefBR https://t.co/Nrwx3sCHyz	Wed May 03 02:45:41 +0000 2017	N	S	S	0
859599825263890433	emilyfdearaujo	#MasterChefBR É AGORA QUE O FABRIZIO PISA NA MIRIAM	Wed May 03 02:45:43 +0000 2017	S	S	S	1
859599841726517248	cleytu	O PRATO DEVIA SER TORTA DE CLIMÃO #MasterChefBR	Wed May 03 02:45:47 +0000 2017	S	S	S	1
859599877264855042	FelixZiul	Quero esse meme da Vivian escolhendo a equipe dela #MasterChefBR	Wed May 03 02:45:55 +0000 2017	N	N	N	1
859599919740579840	UmAmigoSincero	RT @NonLacerda: EQUIPE VERMELHA #MasterChefBR arrasaram. Depois dessa, vms morfar @masterchefbr!!!! https://t.co/g3Oamwgdxp	Wed May 03 02:46:06 +0000 2017	N	N	N	1
859599998538874881	marthinetto	eu lembrando da atual situação do país #MasterChefBR https://t.co/xZ2JVReUnR	Wed May 03 02:46:24 +0000 2017	N	N	N	1
859600055220789248	Teledramaturgia	RT @amaurit: 100 trutas, 1000 tretas! #MasterChefBR https://t.co/VD7dCxFVNN	Wed May 03 02:46:38 +0000 2017	S	S	S	1
859600109260222464	masterchefbr	A cozinha da @AzuLinhasAereas não para, então bora cozinhar! O @Fogaca_Henrique foi conferir o menu #MasterChefBR e… https://t.co/tWjVbz72Ja	Wed May 03 02:46:51 +0000 2017	N	N	N	1
859600143150088192	emilyfdearaujo	#MasterChefBR ezza cara da Paola	Wed May 03 02:46:59 +0000 2017	N	N	N	1
859600156156669953	BiaArantes	Meus treta essa prova é mto truta #MasterChefBR	Wed May 03 02:47:02 +0000 2017	S	S	S	1
859600176813662209	MussumAlive	Mil Trutas, Mil Tretas #MasterChefBR	Wed May 03 02:47:07 +0000 2017	S	S	S	1
859600188947800064	masterchefbr	RT @cleytu: O PRATO DEVIA SER TORTA DE CLIMÃO #MasterChefBR	Wed May 03 02:47:10 +0000 2017	S	S	S	1
859600187727261696	AssuntoTeen	RT @JonassOficial: #MasterChefBR Quando eu como peixe por muito tempo - Só pode ser maldição dos peixes	Wed May 03 02:47:10 +0000 2017	N	N	N	1
859600236490129408	emilyfdearaujo	#MasterChefBR ALGUÉM TIRA O FABRIZIO DO LADO DA MIRIAM PFV	Wed May 03 02:47:21 +0000 2017	N	S	S	0
859600238188912640	diva_oficial	Chegamos para o #MasterChefBR &lt;3	Wed May 03 02:47:22 +0000 2017	N	N	N	1
859600330052571138	RealitySocial	45 minutos #MasterChefBR https://t.co/bDXZufH7LD	Wed May 03 02:47:43 +0000 2017	N	N	N	1
859600374885474305	boudelaires	a yuko é tão fofinha q ela parece aquele biscoito do shrek #MasterChefBR https://t.co/lw7Vc4dzh1	Wed May 03 02:47:54 +0000 2017	S	S	S	1
859600397224337408	SigaCitacoes	RT @marthinetto: eu lembrando da atual situação do país #MasterChefBR https://t.co/xZ2JVReUnR	Wed May 03 02:47:59 +0000 2017	N	N	N	1
859600413942845440	brunomotta	se me dão 3 minutos de mercado eu não consigo nem entrar #MasterChefBR	Wed May 03 02:48:03 +0000 2017	S	S	S	1
859600441587453953	dyrsoo	Só lembro de uma lavada dessa no 7 x 1 da copa do mundo! Agora no #MasterChefBR 58 x 2 @masterchefbr	Wed May 03 02:48:10 +0000 2017	N	S	S	0
859600595338088448	JackCanalha	Quando começam a falar mal de mim. #MasterChefBR https://t.co/BBG8kWlErU	Wed May 03 02:48:47 +0000 2017	N	N	N	1
859600604678770688	brunomotta	RT @masterchefbr: Os pidunchos. They are everywhere! #MasterChefBR https://t.co/L4Vmlo7iJ9	Wed May 03 02:48:49 +0000 2017	N	N	N	1
859600664627998720	diva_oficial	Quando eu chego no MasterChef e descubro que perdi a treta: #MasterChefBR https://t.co/0d0jQvoNKY	Wed May 03 02:49:03 +0000 2017	N	S	S	0
859600683766558722	PaolaCarosella	RT @NathyVilla: Treta no #MasterChefBR e a @PaolaCarosella não tá envolvida! Inédito!	Wed May 03 02:49:08 +0000 2017	N	S	S	0
859600721427259392	dyrsoo	TRUTA vs TRETAS #MasterChefBR	Wed May 03 02:49:17 +0000 2017	N	S	S	0
859600725394980864	MussumAlive	Quando eu beijo a boca da @ #MasterchefBR https://t.co/XkFGClsdns	Wed May 03 02:49:18 +0000 2017	N	N	N	1
859600762594369536	RealitySocial	Eu tenho a maior curiosidade de saber a logística pra esses depoimentos, são antes ou depois das provas?… https://t.co/gqwQybE7Gt	Wed May 03 02:49:27 +0000 2017	S	S	S	1
859600796580761603	masterchefbr	Não vale colar na prova! #MasterChefBR https://t.co/aqPh9AFyqF	Wed May 03 02:49:35 +0000 2017	N	N	N	1
859600841061388289	criaugusto	#MasterChefBR https://t.co/MRS0h6l5BQ	Wed May 03 02:49:45 +0000 2017	N	N	N	1
859600964638126080	MTurismo	.@masterchefbr @PaolaCarosella @erickjacquin @TwitterBrasil Em Bonito (MS), você também pode nadar com os peixes em… https://t.co/vw3bgMZJuH	Wed May 03 02:50:15 +0000 2017	N	N	N	1
859600996812673024	pratofundo	os bichinhos unidos! hahaha - “Que frio, mores” #MasterChefBR https://t.co/bxQ4z6MYBO	Wed May 03 02:50:22 +0000 2017	N	N	N	1
859601000742739968	chico_pinheiro	RT @rickirodrigues: Inventando a receita de hoje #MasterChefBR https://t.co/OIAITzb0P6	Wed May 03 02:50:23 +0000 2017	N	N	N	1
859601043205828608	JackCanalha	- Vamos na festa? - Vai ter comida? - Sim. - #MasterChefBR https://t.co/tkO3gdWxwC	Wed May 03 02:50:33 +0000 2017	N	N	N	1
859601045005250561	JackCanalha	E eu achando que truta era só uma gíria de Paulista. #MasterChefBR	Wed May 03 02:50:34 +0000 2017	N	S	S	0
859601054001967104	eumarciolima	Ela quer infernizar a vida do Fabrizio? #MasterChefBR	Wed May 03 02:50:36 +0000 2017	S	N	S	0
859601103574491136	AlfaceVerde	Que beleza se a Miriam saísse fazendo peixe em hahahahah #MasterChefBR	Wed May 03 02:50:48 +0000 2017	S	S	S	1
859601112059588608	philosopop	que sujeita irritante essa myriam #MasterchefBR	Wed May 03 02:50:50 +0000 2017	N	S	S	0
859601111216467968	OpsEngordei	TAO COM SANGUE NO ZOIO #MasterChefBR	Wed May 03 02:50:50 +0000 2017	N	S	S	0
859601208469848065	cleytu	eu assistindo as tretas no #MasterChefBR https://t.co/It0nCfCe8Y	Wed May 03 02:51:13 +0000 2017	N	S	S	0
859601251176206336	leoyoungchef	@MChefMirian e @MChefFabrizio ainda saem no tapa 👋🏼💥até o final desse episódio... 😂 #MasterChefBr	Wed May 03 02:51:23 +0000 2017	S	S	S	1
859601305408598016	marcelomelo83	Finalmente vou aprender a cozinhar um belo peixe :) #MasterChefBR	Wed May 03 02:51:36 +0000 2017	N	N	N	1
859601358995034114	jwstimberlake	MOSTRA PRA MIRIAM COMO É QUE SE FAZ UM PEIXE, FABRIZIO #MasterChefBR	Wed May 03 02:51:49 +0000 2017	S	S	S	1
859601404435890176	NeydinhaOficial	RT @falarafha: mais uma terça assistindo #MasterChefBR e com fome querendo jantar de novo https://t.co/qqARQTsfLi	Wed May 03 02:52:00 +0000 2017	N	S	S	0
859601424925286400	TeIevizona	JA QUERO PAY PER VIEW DESSA TRETA ENTRE FABRIZIO E MIRIAN #MasterChefBR	Wed May 03 02:52:04 +0000 2017	N	S	S	0
859601434886766592	carleineos	a vontade que eu tô de ver a miriam sendo eliminada não está no gibi #MasterChefBR	Wed May 03 02:52:07 +0000 2017	S	S	S	1
859601508782022656	TVShow	Jurado do "MasterChef Brasil" choca fãs com foto antiga: "Irreconhecível" #MasterChefBR https://t.co/sQtq5V3XKI	Wed May 03 02:52:24 +0000 2017	N	N	N	1
859601509415256064	10TVBr	Jurado do "MasterChef Brasil" choca fãs com foto antiga: "Irreconhecível" #MasterChefBR https://t.co/HPLTlRIQRb	Wed May 03 02:52:25 +0000 2017	N	N	N	1
859601551324835841	NonLacerda	Quando tem treta no #MasterChefBR 😍😍👏👏 https://t.co/PD4oaykvJr	Wed May 03 02:52:35 +0000 2017	N	N	N	1
859601592865181696	MussumAlive	O pessoal do mezanino parece quinta série bicho #MasterChefBR	Wed May 03 02:52:45 +0000 2017	S	S	S	1
859601695478886400	criaugusto	#MasterChefBR https://t.co/hzuKtM8tA3	Wed May 03 02:53:09 +0000 2017	N	N	N	1
859601735769260032	MChef_Raul	RT @masterchefbr: Sobrou uma bronquinha da @PaolaCarosella até pro @MChef_Raul ao vivo! #MasterChefBR https://t.co/hUZBealV5r	Wed May 03 02:53:19 +0000 2017	N	S	S	0
859601789976498177	emilyfdearaujo	#MasterChefBR FORA MIRIAM, FORA MIRIAM	Wed May 03 02:53:32 +0000 2017	N	S	S	0
859601794380509185	UmAmigoSincero	RT @NonLacerda: Quando tem treta no #MasterChefBR 😍😍👏👏 https://t.co/PD4oaykvJr	Wed May 03 02:53:33 +0000 2017	N	N	N	1
859601807760347137	audienciasdatv	Jurado do "MasterChef Brasil" choca fãs com foto antiga: "Irreconhecível" #MasterChefBR https://t.co/CFpuP6cgcK	Wed May 03 02:53:36 +0000 2017	N	N	N	1
859601827322527749	diva_oficial	O prato de hoje será um peixe ao sugo'' #MasterChefBR https://t.co/LcMHCUP3ax	Wed May 03 02:53:40 +0000 2017	N	N	N	1
859601844607365121	leoyoungchef	Adoro peixes, adoro truta, mas a prova de eliminação eu passo! #MasterChefBr 🐟🔪💥	Wed May 03 02:53:45 +0000 2017	N	S	S	0
859602007522508801	Metropoles	#MasterchefBR: Mara Alcamim participa em prova de pratos do Centro-Oeste - https://t.co/FzU2PEzDui https://t.co/xtqHTamQG5	Wed May 03 02:54:23 +0000 2017	N	N	N	1
859602016162770944	Teledramaturgia	A truta não namora piranha #MasterChefBR	Wed May 03 02:54:25 +0000 2017	N	N	N	1
859602042045816832	emilyfdearaujo	#MasterChefBR a cafa da Paola de nojo foi a melhor KKKKKKKKKKKK EJ TO PASSANDO MAL	Wed May 03 02:54:32 +0000 2017	S	S	S	1
859602155866648577	FelixZiul	MARAVILHOSO #MasterChefBR	Wed May 03 02:54:59 +0000 2017	N	N	N	1
859602171393974273	masterchefbr	RT @AmericooJr: O crush mudou o status para solteiro!!! #MasterChefBR https://t.co/o67i0LT616	Wed May 03 02:55:02 +0000 2017	N	N	N	1
859602250909581312	leoyoungchef	E os jurados colocando lenha na fogueira... 🔥🔥🔥#MasterChefBr	Wed May 03 02:55:21 +0000 2017	S	S	S	1
859602284501708800	JackCanalha	"Preciso falar com você e tem que ser pessoalmente" #MasterChefBR https://t.co/yEdDrckslh	Wed May 03 02:55:29 +0000 2017	N	N	N	1
859602286766632960	JackCanalha	Se a Miriam não sair hoje a gente apela pro STF. #MasterChefBR	Wed May 03 02:55:30 +0000 2017	S	S	S	1
859602309046775809	diva_oficial	Foca no PIPARUCU! #MasterChefBR https://t.co/0Iytteh7SS	Wed May 03 02:55:35 +0000 2017	N	N	N	1
859602387413217280	thiago_p	A única receita de peixe que eu sei fazer é abrir a lata do atum ou da sardinha. #MasterChefBR	Wed May 03 02:55:54 +0000 2017	S	S	S	1
859602409827553281	rennangaldino_	Fico preocupado quando vejo a Yuko na prova de eliminação VAI PASTEL DE FLANGO #MasterChefBR	Wed May 03 02:55:59 +0000 2017	N	S	S	0
859602480241532929	MTurismo	.@masterchefbr @PaolaCarosella @erickjacquin @TwitterBrasil Você pode conhecer várias receitas com alimentos region… https://t.co/ybKJ15upZA	Wed May 03 02:56:16 +0000 2017	N	S	S	0
859602485111074816	Teledramaturgia	Batata sautée com alecrim é muito bom! #MasterChefBR	Wed May 03 02:56:17 +0000 2017	N	N	N	1
859602493067669504	brunomotta	As pessoas não aprendem que em prova de eliminação não se arrisca, se vai no certo. pq vc nao precisa ganhar, só passar #masterchefbr	Wed May 03 02:56:19 +0000 2017	N	S	S	0
859602766381158401	boudelaires	quando a pessoa q eu gosto posta foto no insta #MasterChefBR https://t.co/TTlBEoIJkG	Wed May 03 02:57:24 +0000 2017	N	N	N	1
859602913764794369	masterchefbr	Sua vó começa a chorar com a novela e quer que você se emocione também! #MasterChefBR https://t.co/jMTQXzZJ9g	Wed May 03 02:57:59 +0000 2017	N	N	N	1
859602916071677952	carleineos	eu quando a miriam começar a falar: #MasterChefBR https://t.co/ZTEp6vcWbP	Wed May 03 02:58:00 +0000 2017	N	S	S	0
859602920303669248	MussumAlive	RT @AlexandreMedina: Corre truta! #MasterChefBR https://t.co/o5BaNyZNfW	Wed May 03 02:58:01 +0000 2017	N	N	N	1
859602934375514112	BrunoAstronomy	Vamos lá!! Torcendo pro @MChefFabrizio , @MChefTaise e a @MChefYuko ! Caprichem neste peixinho aí, gente! 😄👏🍜🐟 #MasterChefBR #MasterChef	Wed May 03 02:58:04 +0000 2017	N	S	S	0
859602967586103296	PaolaCarosella	RT @edyenecaroline: Para alarmes com a @PaolaCarosella dizendo: "acorda,acorda!" eu digo SIM! #MasterChefBR	Wed May 03 02:58:12 +0000 2017	N	S	S	0
859603043763073024	Teledramaturgia	RT @masterchefbr: Sua vó começa a chorar com a novela e quer que você se emocione também! #MasterChefBR https://t.co/jMTQXzZJ9g	Wed May 03 02:58:30 +0000 2017	N	N	N	1
859603070975606784	azulinhasaereas	RT @masterchefbr: A cozinha da @AzuLinhasAereas não para, então bora cozinhar! O @Fogaca_Henrique foi conferir o menu #MasterChefBR e já bo…	Wed May 03 02:58:37 +0000 2017	N	S	S	0
859603162050813952	leoyoungchef	"O salmão é a vaca do mar.." Jacquin. 😂 sensacional 🐟🐮 #MasterChefBr	Wed May 03 02:58:59 +0000 2017	S	S	S	1
859603170821099520	Teledramaturgia	SINHANA #MasterChefBR	Wed May 03 02:59:01 +0000 2017	N	N	N	1
859603282175684608	emilyfdearaujo	RT @404jrg: VAI FABRIZIO! #MasterChefBR	Wed May 03 02:59:27 +0000 2017	N	N	N	1
859603300240343040	emilyfdearaujo	RT @ROBERTACARLOS: #MasterchefBR Aderlize e demente viu fia	Wed May 03 02:59:32 +0000 2017	N	N	N	1
859603323804057602	nostrendsbrasil	RT @TVShow: Jurado do "MasterChef Brasil" choca fãs com foto antiga: "Irreconhecível" #MasterChefBR https://t.co/sQtq5V3XKI	Wed May 03 02:59:37 +0000 2017	N	N	N	1
859603366384730112	cleytu	qnd vc ta deitado quase dormindo e de repente tem a sensação de q tá caindo #MasterChefBR https://t.co/067HSq5AH1	Wed May 03 02:59:47 +0000 2017	N	N	N	1
859603512728178688	fuxikita	O povo fica inventando moda numa receita tão simples. #MasterChefBR	Wed May 03 03:00:22 +0000 2017	N	S	S	0
859603542390210560	lindinaldol	#MasterChefBR Sobre minha cama: https://t.co/7MSNCp62rx	Wed May 03 03:00:29 +0000 2017	N	N	N	1
859603614704164865	masterchefbr	Vem falar sobre o #MasterChefBR de hoje com a gente! https://t.co/EbfE9ff0oR	Wed May 03 03:00:47 +0000 2017	N	S	S	0
859603676276641792	FelixZiul	Soltei spoiler do #MasterChefBR no quarto e sai correndo 🏃😂	Wed May 03 03:01:01 +0000 2017	N	N	N	1
859603787513810944	anapaulapadrao	Gentemmm, acho que vou perder o fim da treta das trutas. Buenas noches a todos. Caprichem nos memes! #MasterChefBR	Wed May 03 03:01:28 +0000 2017	N	N	N	1
859603827481165825	lindinaldol	#MasterChefBR Sobre feriado prolongado: https://t.co/ZwXpqeT9Rl	Wed May 03 03:01:37 +0000 2017	N	N	N	1
